"c";"k";"activation";"batch_size";"filters";"epochs";"rmse"
8;1;"softmax";1;1;1;0,155676002148923
8;1;"softmax";1;1;5;0,155675957947713
8;1;"softmax";1;1;10;0,155676061083931
8;1;"softmax";1;8;1;0,16205288751196
8;1;"softmax";1;8;5;0,131943320462182
8;1;"softmax";1;8;10;0,117574013556801
8;1;"softmax";1;16;1;0,160063556216354
8;1;"softmax";1;16;5;0,141260464606343
8;1;"softmax";1;16;10;0,116705637069353
8;1;"softmax";1;32;1;0,158451327677813
8;1;"softmax";1;32;5;0,148168109650011
8;1;"softmax";1;32;10;0,116441841224301
8;1;"softmax";1;64;1;0,157948410544876
8;1;"softmax";1;64;5;0,150360296563559
8;1;"softmax";1;64;10;0,117782576471164
8;1;"softmax";7;1;1;0,357337728618937
8;1;"softmax";7;1;5;0,146455428929508
8;1;"softmax";7;1;10;0,146455440335353
8;1;"softmax";7;8;1;0,147930339317913
8;1;"softmax";7;8;5;0,146881127262447
8;1;"softmax";7;8;10;0,140655200925086
8;1;"softmax";7;16;1;0,145917605160158
8;1;"softmax";7;16;5;0,147077269304232
8;1;"softmax";7;16;10;0,144452288370182
8;1;"softmax";7;32;1;0,147053889042346
8;1;"softmax";7;32;5;0,147105537727421
8;1;"softmax";7;32;10;0,145299345645846
8;1;"softmax";7;64;1;0,1456620992638
8;1;"softmax";7;64;5;0,147079617967852
8;1;"softmax";7;64;10;0,146195291437039
8;1;"softmax";30;1;1;1,73190409536497
8;1;"softmax";30;1;5;0,141557596041947
8;1;"softmax";30;1;10;0,142845003237089
8;1;"softmax";30;8;1;0,177208766781637
8;1;"softmax";30;8;5;0,142865126834772
8;1;"softmax";30;8;10;0,141921303101835
8;1;"softmax";30;16;1;0,149387373465446
8;1;"softmax";30;16;5;0,143100579433452
8;1;"softmax";30;16;10;0,142716762173859
8;1;"softmax";30;32;1;0,222238378905647
8;1;"softmax";30;32;5;0,142989294810715
8;1;"softmax";30;32;10;0,143001430448746
8;1;"softmax";30;64;1;0,199729292060901
8;1;"softmax";30;64;5;0,142960948079908
8;1;"softmax";30;64;10;0,142969013089001
8;1;"relu";1;1;1;0,124416613095743
8;1;"relu";1;1;5;0,148911805454552
8;1;"relu";1;1;10;0,148911805454552
8;1;"relu";1;8;1;0,12439655162641
8;1;"relu";1;8;5;0,117450525704369
8;1;"relu";1;8;10;0,115076726546537
8;1;"relu";1;16;1;0,127199995931386
8;1;"relu";1;16;5;0,121141026743667
8;1;"relu";1;16;10;0,12494812657635
8;1;"relu";1;32;1;0,124897844648764
8;1;"relu";1;32;5;0,129927162464646
8;1;"relu";1;32;10;0,131001362061303
8;1;"relu";1;64;1;0,130110685441864
8;1;"relu";1;64;5;0,130452349718966
8;1;"relu";1;64;10;0,131664743316459
8;1;"relu";7;1;1;0,134626196803599
8;1;"relu";7;1;5;0,142703461489192
8;1;"relu";7;1;10;0,142708965272449
8;1;"relu";7;8;1;0,122173455287907
8;1;"relu";7;8;5;0,114742415840981
8;1;"relu";7;8;10;0,11730324554791
8;1;"relu";7;16;1;0,124498557282564
8;1;"relu";7;16;5;0,11619094467209
8;1;"relu";7;16;10;0,123093161325104
8;1;"relu";7;32;1;0,129375797327305
8;1;"relu";7;32;5;0,124590221874573
8;1;"relu";7;32;10;0,131272135842925
8;1;"relu";7;64;1;0,137303949819679
8;1;"relu";7;64;5;0,130902096920714
8;1;"relu";7;64;10;0,133182916978299
8;1;"relu";30;1;1;0,248330153291474
8;1;"relu";30;1;5;0,29823945472762
8;1;"relu";30;1;10;0,141686796754704
8;1;"relu";30;8;1;0,248330153291474
8;1;"relu";30;8;5;0,110176723032911
8;1;"relu";30;8;10;0,112684556203305
8;1;"relu";30;16;1;0,13202427311872
8;1;"relu";30;16;5;0,110344899832073
8;1;"relu";30;16;10;0,110398970503206
8;1;"relu";30;32;1;0,113818085973184
8;1;"relu";30;32;5;0,110910133829331
8;1;"relu";30;32;10;0,110738637867656
8;1;"relu";30;64;1;0,112770472819777
8;1;"relu";30;64;5;0,111935695726217
8;1;"relu";30;64;10;0,111252382036352
8;1;"tanh";1;1;1;0,114745487387424
8;1;"tanh";1;1;5;0,123923564374124
8;1;"tanh";1;1;10;0,116740834664756
8;1;"tanh";1;8;1;0,132401693125626
8;1;"tanh";1;8;5;0,129900463946055
8;1;"tanh";1;8;10;0,137608494153764
8;1;"tanh";1;16;1;0,132027871247454
8;1;"tanh";1;16;5;0,134678789271355
8;1;"tanh";1;16;10;0,139653556527729
8;1;"tanh";1;32;1;0,135412819738339
8;1;"tanh";1;32;5;0,142836755034102
8;1;"tanh";1;32;10;0,140430769110422
8;1;"tanh";1;64;1;0,148323217807166
8;1;"tanh";1;64;5;0,142662906447746
8;1;"tanh";1;64;10;0,13737699466956
8;1;"tanh";7;1;1;0,138162180942249
8;1;"tanh";7;1;5;0,122874020415867
8;1;"tanh";7;1;10;0,115208963309949
8;1;"tanh";7;8;1;0,130514682666181
8;1;"tanh";7;8;5;0,121221427385316
8;1;"tanh";7;8;10;0,124696305937935
8;1;"tanh";7;16;1;0,150295724388699
8;1;"tanh";7;16;5;0,132295424802424
8;1;"tanh";7;16;10;0,13168354379511
8;1;"tanh";7;32;1;0,154936085501676
8;1;"tanh";7;32;5;0,152165576777546
8;1;"tanh";7;32;10;0,144817364807693
8;1;"tanh";7;64;1;0,177696790131808
8;1;"tanh";7;64;5;0,157159723380333
8;1;"tanh";7;64;10;0,149185177548179
8;1;"tanh";30;1;1;0,110489580603615
8;1;"tanh";30;1;5;0,110986340662111
8;1;"tanh";30;1;10;0,121761335724189
8;1;"tanh";30;8;1;0,136639013195809
8;1;"tanh";30;8;5;0,111379322966047
8;1;"tanh";30;8;10;0,110658777905137
8;1;"tanh";30;16;1;0,111121471095265
8;1;"tanh";30;16;5;0,111775541285033
8;1;"tanh";30;16;10;0,11281234657408
8;1;"tanh";30;32;1;0,115332567818823
8;1;"tanh";30;32;5;0,114609394116985
8;1;"tanh";30;32;10;0,115129146714734
8;1;"tanh";30;64;1;0,125297203581813
8;1;"tanh";30;64;5;0,118764573748193
8;1;"tanh";30;64;10;0,118013245899123
8;2;"softmax";1;1;1;0,155676061083931
8;2;"softmax";1;1;5;0,155676002148923
8;2;"softmax";1;1;10;0,155675928480261
8;2;"softmax";1;8;1;0,153590648616339
8;2;"softmax";1;8;5;0,114066216300786
8;2;"softmax";1;8;10;0,117545458650371
8;2;"softmax";1;16;1;0,158005693242079
8;2;"softmax";1;16;5;0,113106696555633
8;2;"softmax";1;16;10;0,119989873382704
8;2;"softmax";1;32;1;0,156787069604809
8;2;"softmax";1;32;5;0,113545365383884
8;2;"softmax";1;32;10;0,113287958050657
8;2;"softmax";1;64;1;0,15686819470142
8;2;"softmax";1;64;5;0,115925272906837
8;2;"softmax";1;64;10;0,111757129005625
8;2;"softmax";7;1;1;0,765171359056721
8;2;"softmax";7;1;5;0,146423079997909
8;2;"softmax";7;1;10;0,146455428929508
8;2;"softmax";7;8;1;0,145917131347744
8;2;"softmax";7;8;5;0,1411852954784
8;2;"softmax";7;8;10;0,127319121300745
8;2;"softmax";7;16;1;0,14629924379628
8;2;"softmax";7;16;5;0,145703074926063
8;2;"softmax";7;16;10;0,122892006727858
8;2;"softmax";7;32;1;0,146321800450985
8;2;"softmax";7;32;5;0,144663750024262
8;2;"softmax";7;32;10;0,134361107276248
8;2;"softmax";7;64;1;0,145806028816873
8;2;"softmax";7;64;5;0,146192064893007
8;2;"softmax";7;64;10;0,138488772301121
8;2;"softmax";30;1;1;0,500264914233394
8;2;"softmax";30;1;5;0,857972823688672
8;2;"softmax";30;1;10;0,142854113445131
8;2;"softmax";30;8;1;0,344906922449488
8;2;"softmax";30;8;5;0,138894861553805
8;2;"softmax";30;8;10;0,134777065855668
8;2;"softmax";30;16;1;0,234409662074214
8;2;"softmax";30;16;5;0,141887185608454
8;2;"softmax";30;16;10;0,141673501604869
8;2;"softmax";30;32;1;0,178608633729631
8;2;"softmax";30;32;5;0,142697429801476
8;2;"softmax";30;32;10;0,141877454046678
8;2;"softmax";30;64;1;0,198157142785783
8;2;"softmax";30;64;5;0,142771307399275
8;2;"softmax";30;64;10;0,142540694176162
8;2;"relu";1;1;1;0,148908235642938
8;2;"relu";1;1;5;0,123293375985718
8;2;"relu";1;1;10;0,148911805454552
8;2;"relu";1;8;1;0,141825762398072
8;2;"relu";1;8;5;0,135083005040661
8;2;"relu";1;8;10;0,133781945924573
8;2;"relu";1;16;1;0,157051123634603
8;2;"relu";1;16;5;0,142819010694073
8;2;"relu";1;16;10;0,12624216162691
8;2;"relu";1;32;1;0,14394122475714
8;2;"relu";1;32;5;0,148835336998278
8;2;"relu";1;32;10;0,138617602497815
8;2;"relu";1;64;1;0,147194071277643
8;2;"relu";1;64;5;0,129794889541366
8;2;"relu";1;64;10;0,143391041624452
8;2;"relu";7;1;1;0,232799521435772
8;2;"relu";7;1;5;0,142703461489192
8;2;"relu";7;1;10;0,14201391475817
8;2;"relu";7;8;1;0,136594312942233
8;2;"relu";7;8;5;0,135933137775254
8;2;"relu";7;8;10;0,138722873958142
8;2;"relu";7;16;1;0,139127693890522
8;2;"relu";7;16;5;0,12814261278162
8;2;"relu";7;16;10;0,139043555666365
8;2;"relu";7;32;1;0,171902079567508
8;2;"relu";7;32;5;0,152586816742137
8;2;"relu";7;32;10;0,150287867034128
8;2;"relu";7;64;1;0,174684056407515
8;2;"relu";7;64;5;0,16438971093122
8;2;"relu";7;64;10;0,142602857638171
8;2;"relu";30;1;1;0,248899940966534
8;2;"relu";30;1;5;0,146514405086654
8;2;"relu";30;1;10;0,140342979046261
8;2;"relu";30;8;1;0,163336189888099
8;2;"relu";30;8;5;0,115725225856031
8;2;"relu";30;8;10;0,11302492786744
8;2;"relu";30;16;1;0,14601451441754
8;2;"relu";30;16;5;0,12195157518146
8;2;"relu";30;16;10;0,116478933588353
8;2;"relu";30;32;1;0,113728442513215
8;2;"relu";30;32;5;0,110182509416271
8;2;"relu";30;32;10;0,113838143946045
8;2;"relu";30;64;1;0,138459472651868
8;2;"relu";30;64;5;0,113349944084072
8;2;"relu";30;64;10;0,109831596158561
8;2;"tanh";1;1;1;0,143767896986062
8;2;"tanh";1;1;5;0,142206456399238
8;2;"tanh";1;1;10;0,135417625719101
8;2;"tanh";1;8;1;0,160371755462157
8;2;"tanh";1;8;5;0,131575081229614
8;2;"tanh";1;8;10;0,134420763665098
8;2;"tanh";1;16;1;0,164573125410085
8;2;"tanh";1;16;5;0,150380305612847
8;2;"tanh";1;16;10;0,140065625861071
8;2;"tanh";1;32;1;0,182886075835367
8;2;"tanh";1;32;5;0,151901909751382
8;2;"tanh";1;32;10;0,149947873305147
8;2;"tanh";1;64;1;0,208312052621506
8;2;"tanh";1;64;5;0,154406287068112
8;2;"tanh";1;64;10;0,147620425150143
8;2;"tanh";7;1;1;0,135140901862685
8;2;"tanh";7;1;5;0,150423201468024
8;2;"tanh";7;1;10;0,123990064932371
8;2;"tanh";7;8;1;0,200005462550793
8;2;"tanh";7;8;5;0,141750052207935
8;2;"tanh";7;8;10;0,127169428349
8;2;"tanh";7;16;1;0,193605701473831
8;2;"tanh";7;16;5;0,153250138970823
8;2;"tanh";7;16;10;0,155473748067264
8;2;"tanh";7;32;1;0,204798928613221
8;2;"tanh";7;32;5;0,186903858799137
8;2;"tanh";7;32;10;0,171416441263332
8;2;"tanh";7;64;1;0,255902500341347
8;2;"tanh";7;64;5;0,184928265228513
8;2;"tanh";7;64;10;0,176265671115456
8;2;"tanh";30;1;1;0,698894988105169
8;2;"tanh";30;1;5;0,136508344082815
8;2;"tanh";30;1;10;0,166577596469747
8;2;"tanh";30;8;1;0,157807281310876
8;2;"tanh";30;8;5;0,116429793832685
8;2;"tanh";30;8;10;0,11330705684921
8;2;"tanh";30;16;1;0,131422010713913
8;2;"tanh";30;16;5;0,127016383012267
8;2;"tanh";30;16;10;0,118643802605451
8;2;"tanh";30;32;1;0,132201847669959
8;2;"tanh";30;32;5;0,125723406983679
8;2;"tanh";30;32;10;0,127459148311042
8;2;"tanh";30;64;1;0,112625109939853
8;2;"tanh";30;64;5;0,115725284828605
8;2;"tanh";30;64;10;0,118654876355019
8;3;"softmax";1;1;1;0,155676061083931
8;3;"softmax";1;1;5;0,155675854811706
8;3;"softmax";1;1;10;0,155675854811706
8;3;"softmax";1;8;1;0,158428514950471
8;3;"softmax";1;8;5;0,112896479214119
8;3;"softmax";1;8;10;0,117898384838847
8;3;"softmax";1;16;1;0,15667645442079
8;3;"softmax";1;16;5;0,112753344189047
8;3;"softmax";1;16;10;0,112253779441944
8;3;"softmax";1;32;1;0,156568987605095
8;3;"softmax";1;32;5;0,113561079923757
8;3;"softmax";1;32;10;0,112895270133782
8;3;"softmax";1;64;1;0,156483514294621
8;3;"softmax";1;64;5;0,114844703406921
8;3;"softmax";1;64;10;0,108595701676637
8;3;"softmax";7;1;1;0,383423288341547
8;3;"softmax";7;1;5;0,14645531487134
8;3;"softmax";7;1;10;0,146455440335353
8;3;"softmax";7;8;1;0,148918470219816
8;3;"softmax";7;8;5;0,141117542974211
8;3;"softmax";7;8;10;0,118033114668927
8;3;"softmax";7;16;1;0,146253881393186
8;3;"softmax";7;16;5;0,143193999175679
8;3;"softmax";7;16;10;0,125114556035614
8;3;"softmax";7;32;1;0,14686207998741
8;3;"softmax";7;32;5;0,144433995210771
8;3;"softmax";7;32;10;0,134559694469331
8;3;"softmax";7;64;1;0,145636732230502
8;3;"softmax";7;64;5;0,145707227407127
8;3;"softmax";7;64;10;0,137644948793972
8;3;"softmax";30;1;1;0,38882669761994
8;3;"softmax";30;1;5;0,233328548780687
8;3;"softmax";30;1;10;0,142822588787421
8;3;"softmax";30;8;1;0,161373626663269
8;3;"softmax";30;8;5;0,141743411763404
8;3;"softmax";30;8;10;0,139569482817215
8;3;"softmax";30;16;1;0,14710097210866
8;3;"softmax";30;16;5;0,14173366338729
8;3;"softmax";30;16;10;0,140388724137898
8;3;"softmax";30;32;1;0,169061627061827
8;3;"softmax";30;32;5;0,142660238378966
8;3;"softmax";30;32;10;0,141821067923535
8;3;"softmax";30;64;1;0,175553015184426
8;3;"softmax";30;64;5;0,142673155737203
8;3;"softmax";30;64;10;0,142250399870749
8;3;"relu";1;1;1;0,148908235642938
8;3;"relu";1;1;5;0,148911805454552
8;3;"relu";1;1;10;0,13778080180913
8;3;"relu";1;8;1;0,120900909922906
8;3;"relu";1;8;5;0,12793000923747
8;3;"relu";1;8;10;0,129268081546774
8;3;"relu";1;16;1;0,12562071850574
8;3;"relu";1;16;5;0,126993718846073
8;3;"relu";1;16;10;0,124524851115314
8;3;"relu";1;32;1;0,133939318650477
8;3;"relu";1;32;5;0,151629312415545
8;3;"relu";1;32;10;0,132745070190112
8;3;"relu";1;64;1;0,133846651841129
8;3;"relu";1;64;5;0,136373372490863
8;3;"relu";1;64;10;0,130343876817319
8;3;"relu";7;1;1;0,156772154619221
8;3;"relu";7;1;5;0,14073312497848
8;3;"relu";7;1;10;0,142708974747026
8;3;"relu";7;8;1;0,148713861138515
8;3;"relu";7;8;5;0,120508314474453
8;3;"relu";7;8;10;0,134787135221599
8;3;"relu";7;16;1;0,133766048950367
8;3;"relu";7;16;5;0,138085475759967
8;3;"relu";7;16;10;0,139586943666191
8;3;"relu";7;32;1;0,171849807966834
8;3;"relu";7;32;5;0,156369858261266
8;3;"relu";7;32;10;0,148681116369343
8;3;"relu";7;64;1;0,162578313689902
8;3;"relu";7;64;5;0,157387071895819
8;3;"relu";7;64;10;0,139632059141916
8;3;"relu";30;1;1;0,248330153291474
8;3;"relu";30;1;5;0,137840945156278
8;3;"relu";30;1;10;0,135534919708523
8;3;"relu";30;8;1;0,163126031477431
8;3;"relu";30;8;5;0,116841130906986
8;3;"relu";30;8;10;0,115542713242248
8;3;"relu";30;16;1;0,116766293339636
8;3;"relu";30;16;5;0,111000398181793
8;3;"relu";30;16;10;0,109768516760249
8;3;"relu";30;32;1;0,113783901760603
8;3;"relu";30;32;5;0,120013109406297
8;3;"relu";30;32;10;0,109291372421411
8;3;"relu";30;64;1;0,13515540265937
8;3;"relu";30;64;5;0,114744855882405
8;3;"relu";30;64;10;0,118597588430968
8;3;"tanh";1;1;1;0,165022755893616
8;3;"tanh";1;1;5;0,118534389782761
8;3;"tanh";1;1;10;0,126177472746912
8;3;"tanh";1;8;1;0,141118401257652
8;3;"tanh";1;8;5;0,134833989443956
8;3;"tanh";1;8;10;0,141153163830681
8;3;"tanh";1;16;1;0,157394093362249
8;3;"tanh";1;16;5;0,141448519720412
8;3;"tanh";1;16;10;0,140553569736917
8;3;"tanh";1;32;1;0,16581804647815
8;3;"tanh";1;32;5;0,167017002461708
8;3;"tanh";1;32;10;0,146579899265255
8;3;"tanh";1;64;1;0,18611455972413
8;3;"tanh";1;64;5;0,14611361765865
8;3;"tanh";1;64;10;0,145295083235197
8;3;"tanh";7;1;1;0,140542838563864
8;3;"tanh";7;1;5;0,140525705094859
8;3;"tanh";7;1;10;0,127694224786226
8;3;"tanh";7;8;1;0,153517182656161
8;3;"tanh";7;8;5;0,15705980469299
8;3;"tanh";7;8;10;0,142247097605849
8;3;"tanh";7;16;1;0,179191792515764
8;3;"tanh";7;16;5;0,174325345407503
8;3;"tanh";7;16;10;0,167083702897367
8;3;"tanh";7;32;1;0,206038208344228
8;3;"tanh";7;32;5;0,167183442286611
8;3;"tanh";7;32;10;0,156566220067567
8;3;"tanh";7;64;1;0,23602286256129
8;3;"tanh";7;64;5;0,197851969507769
8;3;"tanh";7;64;10;0,173667849769463
8;3;"tanh";30;1;1;0,405254965246557
8;3;"tanh";30;1;5;0,135100508626782
8;3;"tanh";30;1;10;0,144781428419186
8;3;"tanh";30;8;1;0,222898406514659
8;3;"tanh";30;8;5;0,136210907536657
8;3;"tanh";30;8;10;0,108901127787517
8;3;"tanh";30;16;1;0,185357182200858
8;3;"tanh";30;16;5;0,122050729132504
8;3;"tanh";30;16;10;0,115188250273356
8;3;"tanh";30;32;1;0,157151530669976
8;3;"tanh";30;32;5;0,132162479746318
8;3;"tanh";30;32;10;0,130663516229582
8;3;"tanh";30;64;1;0,124145350752857
8;3;"tanh";30;64;5;0,117474367382745
8;3;"tanh";30;64;10;0,130041394434282
